,track_id,track_name,artist_name,artist_genres,album_name,artist_id,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,album_img
0,7kUljt0NM5sISL3OGNVxYd,Royalty,Egzod,[],Royalty,3exvMmrLV6o4R42YnG3Id6,81,223520,False,0.388,0.855,4,-4.229,0,0.0644,0.0181,8.11e-05,0.137,0.32,80.121,4,https://i.scdn.co/image/ab67616d00001e0275f8e991774621da2bf53a14
1,5WxVXxCMRnvxUKFq40ELwq,Escapism.,RAYE,"['uk contemporary r&b', 'uk pop']",Escapism. (Sped Up),5KKpBU5eC2tJDzf0wmlRp2,53,272373,True,0.538,0.742,2,-5.355,1,0.114,0.138,4.67e-05,0.0934,0.25,96.107,4,https://i.scdn.co/image/ab67616d00001e0257dd31ec4e9dbc7f4238f69a
2,69Sy7207dnixZ6w7RSV9Kb,RISE,League of Legends,"['speedrun', 'video game music']",RISE,47mIJdHORyRerp4os813jD,75,192881,False,0.459,0.663,8,-5.939,0,0.1,0.0169,0,0.0621,0.412,176.791,4,https://i.scdn.co/image/ab67616d00001e02304ae5169ad8e53e261b93f2
3,2lz3zjQ5QCVXiyOzIk02vW,Die For You,VALORANT,['video game music'],Die For You,3wrFoI9EVjWg6m8xXeWr5t,74,212926,False,0.598,0.705,11,-5.462,1,0.0333,0.0826,1.8e-05,0.133,0.104,95.018,4,https://i.scdn.co/image/ab67616d00001e0208074b6de9b696b218c4b57a
4,06V8tMMLJS1lNNejvWFzDt,Not OK,Robert Grace,[],Not OK,6W8rk6H6C3Mcj0lALuLVg1,67,159216,False,0.723,0.627,6,-5.863,1,0.0292,0.317,0,0.188,0.711,87.973,4,https://i.scdn.co/image/ab67616d00001e02a2609b55f272b31baab9247b
5,39d9CQbAB6AMLCxcJtSc0U,Paris to Tokyo,Fivio Foreign,"['brooklyn drill', 'new york drill', 'trap']",B.I.B.L.E.,14CHVeJGrR5xgUGQFV5BVM,61,130897,True,0.642,0.787,5,-6.389,0,0.17,0.0185,0,0.288,0.406,146.733,4,https://i.scdn.co/image/ab67616d00001e0288cd80a2c8bb3c2026a4a032
6,7o1Pm9jpH0wFpN5g793Lnq,Can't Remember to Forget You (feat. Rihanna),Shakira,"['colombian pop', 'dance pop', 'latin pop', 'pop']",Shakira. (Expanded Edition) [Spanish Version],0EmeFodog0BfCgMzAIvKQp,77,206866,False,0.694,0.81,11,-3.556,0,0.0661,0.122,0,0.141,0.824,137.968,4,https://i.scdn.co/image/ab67616d00001e020da1a7e7f3e9ef163e1c1dbf
7,7jftylvYTpTrQVTWNlwxcB,Motley Crew,Post Malone,"['dfw rap', 'melodic rap', 'pop', 'rap']",Motley Crew,246dkjvS1zLTtiykXe5h60,57,183826,False,0.787,0.629,11,-3.878,1,0.0964,0.0744,1.71e-06,0.0936,0.325,129.902,4,https://i.scdn.co/image/ab67616d00001e028dddaa3d21881caf9cae63c4
8,2CtaTmkRB7csW9XAZbWHDq,If I Never See Your Face Again,Maroon 5,['pop'],Good Girl Gone Bad: Reloaded,04gDigrS5kc9YWfZHwBETP,52,198240,False,0.763,0.781,6,-3.718,1,0.0357,0.00468,5.27e-06,0.116,0.914,106.015,4,https://i.scdn.co/image/ab67616d00001e02f9f27162ab1ed45b8d7a7e98
9,1MAlMlyi4RJRUrmKl7EseJ,False Alarm,Connor Price,[],Spin The Globe,5zixe6AbgXPqt4c1uSl94L,56,142030,False,0.619,0.615,1,-6.797,1,0.236,0.00411,0.00436,0.134,0.33,75.048,4,https://i.scdn.co/image/ab67616d00001e0248113e42e6364509694507d2
10,4gi2kndWShH9kDbb9kBfs6,Fighter,The Score,"['modern alternative rock', 'pov: indie']",Metamorph,2q3GG88dVwuQPF4FmySr9I,68,156666,False,0.521,0.835,8,-3.717,0,0.0728,0.0259,0.00011,0.091,0.482,160.031,4,https://i.scdn.co/image/ab67616d00001e02c09b392d321f8377180c7d08
11,6KigD0mlF4VGDYiSEzAyYw,Fight Back,NEFFEX,[],Fight Back: The Collection,3z97WMRi731dCvKklIf2X6,76,200571,True,0.716,0.946,1,-3.412,1,0.261,0.094,6.63e-05,0.0825,0.587,139.943,4,https://i.scdn.co/image/ab67616d00001e02bd9e9490d5198c41cb85b669
