track_id,track_name,artist_name,artist_genres,album_name,artist_id,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duracao_min
4sX4O9mgw76aWhehf1eSRD,Gone,Jack Johnson,['neo mellow'],On And On,3GBPw9NK25X1Wt2OUvOwY3,68,130013,False,0.816,0.338,11,-11.989,0,0.0471,0.832,0.00104,0.119,0.756,97.027,4,02:10
2MfOcbtgz2yTsiznFmVZUN,Halo,Beyoncé,"['pop', 'r&b']",I AM...SASHA FIERCE,6vWDO969PvNqNYHIOW5v0m,70,261640,False,0.508,0.72,11,-5.908,0,0.0628,0.272,0.0,0.0563,0.472,79.983,4,04:21
5Z9KJZvQzH6PFmb8SNkxuk,INDUSTRY BABY (feat. Jack Harlow),Jack Harlow,"['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap']",MONTERO,2LIk90788K0zvyj2JJVwkJ,81,212352,True,0.741,0.691,10,-7.395,0,0.0672,0.0221,0.0,0.0476,0.892,150.087,4,03:32
2Z8WuEywRWYTKe1NybPQEW,Ride,Twenty One Pilots,"['modern rock', 'pop', 'pov: indie', 'rock']",Blurryface,3YQKmKGau1PzlVlkL1iodx,84,214506,False,0.645,0.713,6,-5.355,1,0.0393,0.00835,0.0,0.113,0.566,74.989,4,03:34
0WSa1sucoNRcEeULlZVQXj,Can You Feel My Heart,Bring Me The Horizon,"['melodic metalcore', 'metalcore', 'modern rock', 'pop punk', 'rock', 'uk metalcore']",Sempiternal (Expanded Edition),1Ffb6ejR6Fe5IamqA5oRUF,81,228146,True,0.15,0.859,4,-2.827,0,0.0595,0.00201,0.194,0.387,0.354,170.527,5,03:48
4HlFJV71xXKIGcU3kRyttv,"Hey, Soul Sister",Train,"['dance pop', 'neo mellow', 'pop', 'pop rock']","Save Me, San Francisco (Golden Gate Edition)",3FUY2gzHeIiaesXtOAdB7A,85,216773,False,0.673,0.886,1,-4.44,0,0.0431,0.185,0.0,0.0826,0.795,97.012,4,03:36
4Dvkj6JhhA12EX05fT7y2e,As It Was,Harry Styles,['pop'],Harry's House,6KImCVD70vtIoJWnq6nGn3,92,167303,False,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,4,02:47
4QlzkaRHtU8gAdwqjWmO8n,Friday I'm In Love,The Cure,"['new wave', 'permanent wave', 'rock', 'uk post-punk']",Wish,7bu3H8JO7d0UbMoVzbo70s,80,215160,False,0.526,0.763,0,-12.663,0,0.0341,0.00126,6.75e-05,0.359,0.514,136.205,4,03:35
4Yf5bqU3NK4kNOypcrLYwU,Faint,Linkin Park,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",Meteora,6XyY86QOPPrYVGvF9ch6wz,81,162600,False,0.554,0.978,4,-3.554,1,0.131,0.111,0.0,0.0731,0.594,135.095,4,02:42
7qiZfU4dY1lWllzX7mPBI3,Shape of You,Ed Sheeran,"['pop', 'uk pop']",÷ (Deluxe),6eUKZXaKkcviH0Ku9w2n3V,89,233712,False,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,4,03:53
1dQQ2QlnvXUehsRUrukKmf,Right Now,One Direction,"['boy band', 'pop', 'post-teen pop', 'talent show']",Midnight Memories (Deluxe),4AK6F7OLvEQ5QYCBNiQWHq,84,200400,False,0.645,0.78,8,-5.165,1,0.0319,0.218,0.0,0.0919,0.372,120.008,4,03:20
0xoyUiHhxVH4gwb0CRgNmg,Like A Villain,Bad Omens,['american metalcore'],THE DEATH OF PEACE OF MIND,3Ri4H12KFyu98LMjSoij5V,75,210685,True,0.456,0.915,7,-4.508,1,0.206,0.000696,9.95e-05,0.428,0.403,154.946,4,03:30
1HNkqx9Ahdgi1Ixy2xkKkL,Photograph,Ed Sheeran,"['pop', 'uk pop']",x (Deluxe Edition),6eUKZXaKkcviH0Ku9w2n3V,87,258986,False,0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,4,04:18
32E8uwM57X19l3uBOEuTB2,Surrender,Goodboys,"['pop dance', 'uk dance']",Surrender,2nm38smINjms1LtczR0Cei,55,147580,False,0.696,0.819,1,-6.439,0,0.0417,0.103,0.00108,0.113,0.307,123.992,4,02:27
4UEo1b0wWrtHMC8bVqPiH8,Nightmare,Avenged Sevenfold,"['alternative metal', 'nu metal']",Nightmare,0nmQIMXWTXfhgOBdNzhGOs,75,374453,True,0.554,0.949,2,-4.928,1,0.0787,0.000318,9.98e-05,0.2,0.233,129.984,4,06:14
3dYD57lRAUcMHufyqn9GcI,Take Me To Church,Hozier,"['irish singer-songwriter', 'modern rock', 'pop', 'pov: indie']",Hozier,2FXC3k01G6Gw61bmprjgqS,85,241688,False,0.566,0.664,4,-5.303,0,0.0464,0.634,0.0,0.116,0.437,128.945,4,04:01
3p7XQpdt8Dr6oMXSvRZ9bg,Eyes Closed,Ed Sheeran,"['pop', 'uk pop']",- (Deluxe),6eUKZXaKkcviH0Ku9w2n3V,82,194848,False,0.793,0.52,11,-7.457,0,0.0696,0.246,0.0,0.0878,0.309,107.014,4,03:14
0tgVpDi06FyKpA1z0VMD4v,Perfect,Ed Sheeran,"['pop', 'uk pop']",÷ (Deluxe),6eUKZXaKkcviH0Ku9w2n3V,90,263400,False,0.599,0.448,8,-6.312,1,0.0232,0.163,0.0,0.106,0.168,95.05,3,04:23
50nfwKoDiSYg8zOCREWAm5,Shivers,Ed Sheeran,"['pop', 'uk pop']",=,6eUKZXaKkcviH0Ku9w2n3V,88,207853,False,0.788,0.859,2,-2.724,1,0.0856,0.281,0.0,0.0424,0.822,141.02,4,03:27
7qiZfU4dY1lWllzX7mPBI3,Shape of You,Ed Sheeran,"['pop', 'uk pop']",÷ (Deluxe),6eUKZXaKkcviH0Ku9w2n3V,89,233712,False,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,4,03:53
