track_id,track_name,artist_name,artist_genres,album_name,artist_id,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duracao_min
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",After Hours,1Xyo4u8uXC1ZmMpatF05PJ,92,200040,False,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,4,03:20
3pm1X3oQBKQ4vcp3i9PWRg,Things We Lost In The Fire,Bastille,"['metropopolis', 'modern rock', 'pop']",Bad Blood,7EQ0qTo7fWT7DPxmxtSYEc,60,240746,False,0.587,0.918,4,-4.878,0,0.0581,0.0636,0.0,0.267,0.629,134.055,4,04:00
2X3TAhWaAlTet44mabfdXl,Higher,FIFTY FIFTY,['k-pop girl group'],THE FIFTY,4GJ6xDCF5jaUqD6avOuQT6,70,209333,False,0.642,0.671,0,-5.965,1,0.0428,0.391,0.0,0.188,0.624,103.036,4,03:29
4EchqUKQ3qAQuRNKmeIpnf,The Kids Aren't Alright,The Offspring,"['alternative metal', 'permanent wave', 'post-grunge', 'punk', 'rock', 'skate punk', 'socal pop punk']",Americana,5LfGQac0EIXyAN8aUwmNAQ,84,180160,False,0.523,0.943,1,-4.203,1,0.0337,0.00704,3.81e-05,0.0579,0.766,99.607,4,03:00
5sICkBXVmaCQk5aISGR3x1,Enter Sandman,Metallica,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']",Metallica,2ye2Wgw4gimLv2eAKyk1NB,83,331266,False,0.577,0.828,6,-8.691,0,0.0298,0.00213,0.0114,0.0581,0.604,123.257,4,05:31
7FrJV8tydWEv1Mxu2mIQrm,Beautiful,Snoop Dogg,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']",Paid Tha Cost To Be Da Bo$$,7hJcb9fa4alzcOq3EaNPoG,69,298306,True,0.907,0.695,11,-6.268,0,0.135,0.246,0.0,0.0808,0.961,101.007,4,04:58
789CxjEOtO76BVD1A9yJQH,Stay,Rihanna,"['barbadian pop', 'pop', 'urban contemporary']",Unapologetic (Edited Version),5pKCCKE2ajJHZ9KAiaK11H,74,240706,False,0.621,0.31,9,-10.164,0,0.0283,0.945,6.12e-05,0.117,0.125,111.893,4,04:00
6tRneEcItwpSxBtqgem5Dr,THE DEATH OF PEACE OF MIND,Bad Omens,['american metalcore'],THE DEATH OF PEACE OF MIND,3Ri4H12KFyu98LMjSoij5V,76,241499,True,0.469,0.713,0,-5.619,0,0.0461,0.0869,0.000188,0.129,0.267,154.994,4,04:01
0ct6r3EGTcMLPtrXHDvVjc,The Nights,Avicii,"['edm', 'pop', 'pop dance']",The Days / Nights,1vCWHaC5f2uS3yhpwWbIA6,89,176658,False,0.527,0.835,6,-5.298,1,0.0433,0.0166,0.0,0.249,0.654,125.983,4,02:56
2MuWTIM3b0YEAskbeeFE1i,Master Of Puppets,Metallica,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']",Master Of Puppets (Remastered),2ye2Wgw4gimLv2eAKyk1NB,80,515386,False,0.543,0.836,4,-9.11,0,0.0353,0.000647,0.431,0.153,0.56,105.173,4,08:35
7EQvdUJqZ2i7SWvSB2VqGA,Doomsday,MF DOOM,"['alternative hip hop', 'east coast hip hop', 'hip hop', 'instrumental hip hop']",Operation: Doomsday (Complete),2pAWfrd7WFF3XhVt9GooDL,76,298053,True,0.856,0.84,6,-7.736,0,0.334,0.0973,0.0,0.0773,0.792,95.416,4,04:58
