track_id,track_name,artist_name,artist_genres,album_name,artist_id,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duracao_min
6C1zL1nBK9fVF40mD9fvNd,Fazendinha Sessions #2: Vai Ser Bão Pra lá,Luan Pereira,['agronejo'],Fazendinha Sessions #2: Vai Ser Bão Pra lá,5kVgcCdPbeUwxBqWxi2Ktl,68,481536,False,0.627,0.695,1,-5.616,0,0.149,0.418,0.0,0.0819,0.588,88.991,4,08:01
0MKd4uZd8Ag8qyReZBTarP,Pino da Granada (Ao Vivo em Rio Preto),Murilo Huff,"['arrocha', 'sertanejo universitario']",Pino da Granada (Ao Vivo em Rio Preto),3hq7WoPJsrRP0KMSLhUgRz,69,185407,False,0.321,0.751,1,-5.062,1,0.0676,0.408,0.0,0.967,0.429,77.373,3,03:05
40fRA3sONEHzt20oKvyhRA,Só de Imaginar - Ao Vivo,Zé Vaqueiro,"['arrocha', 'forro de favela']",Ao Vivo em Fortaleza,5K8Rmjmf4RZFffz94EmBRt,65,202243,False,0.469,0.912,8,-2.256,1,0.0491,0.357,0.0,0.486,0.579,75.984,4,03:22
42nZBOwXNdO24Ml032bLBS,Gatilho - Ao Vivo,Matheus & Kauan,"['agronejo', 'arrocha', 'pop nacional', 'sertanejo', 'sertanejo universitario']",Se Melhorar Estraga (Ao Vivo),2Z0lRIqr997lIUiPtrpKCr,76,155284,False,0.48,0.93,2,-4.441,1,0.143,0.0302,0.0,0.689,0.641,160.063,4,02:35
4ASA1PZyWGbuc4d9N8OAcF,Eu Gosto Assim - Ao Vivo,Mari Fernandez,"['agronejo', 'arrocha', 'arrochadeira']",Eu Gosto Assim (Ao Vivo),0BHm7qbh3ENxvXzkQAG7MP,85,148800,False,0.636,0.909,0,-3.685,1,0.0439,0.149,0.0,0.719,0.61,154.189,4,02:28
6Zw25LRLP0j0MsezDFIUM4,Mal Feito - Ao Vivo,Marília Mendonça,"['arrocha', 'sertanejo', 'sertanejo universitario']",Próximo Passo (Ao Vivo),1yR65psqiazQpeM79CcGh8,72,177934,False,0.732,0.831,0,-3.791,0,0.0691,0.554,0.0,0.903,0.684,123.942,4,02:57
0KXdSF0Poa57KOepZ3hKrh,Palhaça - Ao Vivo,Ana Castela,"['agronejo', 'funk rj', 'sertanejo pop']",Palhaça (Ao Vivo),2CKOmarVWvWqkNWUatHCex,83,170191,False,0.893,0.829,0,-5.098,0,0.151,0.518,8.69e-06,0.0979,0.498,146.062,4,02:50
1VcGx47V3mlyZeM7ylY0fh,Insana,Loubet,"['agronejo', 'sertanejo', 'sertanejo pop', 'sertanejo universitario']",Acústico Simplesmente Sertanejo,6DtpcJP3QBgHfte3eKzUCI,52,188560,False,0.759,0.593,6,-6.951,0,0.0312,0.652,0.0,0.463,0.765,109.941,4,03:08
4pt5fDVTg5GhEvEtlz9dKk,I WANNA BE YOUR SLAVE,Måneskin,"['indie rock italiano', 'italian pop', 'pop']",Teatro d'ira - Vol. I,0lAWpj5szCSwM4rUMHYmrr,84,173346,True,0.75,0.608,1,-4.008,1,0.0387,0.00165,0.0,0.178,0.958,132.507,4,02:53
5TGkZGCUoV1zvFxQOIQM5O,Reverse,HITMAKER,['agronejo'],Reverse,0Otd1ReHJtVAzwAuRj09Zg,73,120405,False,0.76,0.768,11,-3.915,0,0.102,0.233,0.0,0.0893,0.907,147.835,4,02:00
5AdPP30mjJCtBMyYKZUEU7,Assunto Delicado - Ao Vivo,Xand Avião,"['arrocha', 'forro de favela', 'funk carioca']",Deu Rolo In Goiânia (Ao Vivo),43DRDu6nLSeIedZ7T1A616,70,180504,False,0.446,0.941,4,-4.134,0,0.378,0.411,0.0,0.892,0.604,75.104,4,03:00
5aqwwgL4XOv2YJYwLiqKOZ,A Culpa É Nossa - Ao Vivo,Maiara & Maraisa,"['sertanejo', 'sertanejo universitario']",Identidade (Ao Vivo),59jlthNnbmim5l9tmNA7se,72,165000,False,0.596,0.85,11,-4.528,1,0.0523,0.608,0.0,0.41,0.531,138.057,4,02:45
4pzRxLzkLjnqnrOL0VMV5w,Não Fosse Tão Tarde - Ao Vivo,Wesley Safadão,"['arrocha', 'forro', 'sertanejo universitario']",Wesley Safadão Ao Vivo Em Fortaleza,1AL2GKpmRrKXkYIcASuRFa,63,142500,False,0.66,0.9,9,-5.263,1,0.0392,0.527,8.49e-06,0.312,0.97,159.819,4,02:22
7LUZT12r4xmwR1Kh8TJgjv,Ex dos Meus Sonhos - Ao Vivo,Gusttavo Lima,"['agronejo', 'arrocha', 'sertanejo', 'sertanejo universitario']",Buteco Goiânia (Ao Vivo),7MiDcPa6UiV3In7lIM71IN,73,182805,False,0.75,0.748,9,-4.424,1,0.0331,0.554,0.0,0.921,0.607,105.989,4,03:02
71VNsncPcTfQiklVO9uXfB,Ô Lá na Roça - Ao Vivo,Felipe & Murillo,['agronejo'],Ô Lá na Roça (Ao Vivo),7Dz1HatpprkP9lmZIezKiE,73,160000,False,0.643,0.869,9,-3.585,1,0.0484,0.317,2.23e-05,0.694,0.642,164.933,4,02:40
4GOs8fPjp4M9CBHanTMwsQ,Seu Perfil - Ao Vivo,Henrique & Juliano,"['agronejo', 'arrocha', 'sertanejo', 'sertanejo universitario']",Manifesto Musical (Ao Vivo / Vol. 2),3p7PcrEHaaKLJnPUGOtRlT,69,183568,False,0.648,0.755,7,-3.465,1,0.0707,0.564,0.0,0.62,0.778,105.658,4,03:03
5cbpoIu3YjoOwbBDGUEp3P,Car Radio,Twenty One Pilots,"['modern rock', 'pop', 'pov: indie', 'rock']",Vessel,3YQKmKGau1PzlVlkL1iodx,72,267720,False,0.766,0.519,9,-7.355,0,0.0366,0.098,0.0,0.0855,0.612,129.972,4,04:27
5mUH00xAH26BsmUvPxW2yk,Chegou um Áudio - Ao Vivo | Faixa Bônus,Israel & Rodolffo,"['agronejo', 'arrocha', 'sertanejo', 'sertanejo universitario']",Israel & Rodolffo: Ao Vivo Em Brasília (Deluxe),41QLxRXlc2NwfJZkHGHKid,66,150989,False,0.627,0.532,11,-6.668,1,0.0413,0.723,0.0,0.934,0.433,144.808,4,02:30
6mFkJmJqdDVQ1REhVfGgd1,Wish You Were Here,Pink Floyd,"['album rock', 'art rock', 'classic rock', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock']",Wish You Were Here,0k17h0D3J5VfsdmQ1iZtE9,78,334743,False,0.481,0.262,7,-15.73,1,0.0414,0.735,0.0114,0.832,0.375,122.861,4,05:34
74Le949TrZk4zwDjtWzH23,Cavalo de Pau,Gusttavo Lima,"['agronejo', 'arrocha', 'sertanejo', 'sertanejo universitario']",Cavalo de Pau,7MiDcPa6UiV3In7lIM71IN,79,164029,False,0.728,0.707,7,-4.289,1,0.0328,0.332,0.0,0.462,0.657,126.973,4,02:44
