track_id,track_name,artist_name,artist_genres,album_name,artist_id,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duracao_min
54ipXppHLA8U4yqpOFTUhr,Bones,Imagine Dragons,"['modern rock', 'pop', 'rock']",Mercury - Acts 1 & 2,53XhwfbYqKCa1cC15pYq2q,87,165264,False,0.772,0.75,5,-3.67,0,0.0455,0.0201,0.0,0.074,0.587,114.061,4,02:45
3spdoTYpuCpmq19tuD0bOe,My Way,Frank Sinatra,"['adult standards', 'easy listening', 'lounge']",My Way (Expanded Edition),1Mxqyy3pSjf8kZZL4QVxS0,75,276800,False,0.401,0.381,2,-7.458,1,0.0274,0.7,0.0,0.122,0.229,75.454,4,04:36
3ebXMykcMXOcLeJ9xZ17XH,Scared to Be Lonely,Martin Garrix,"['dutch edm', 'edm', 'pop', 'pop dance', 'progressive house']",Scared to Be Lonely,60d24wfXkVzDSfLS6hyCjZ,80,220883,False,0.584,0.54,1,-7.786,0,0.0576,0.0895,0.0,0.261,0.195,137.972,4,03:40
4jbmgIyjGoXjY01XxatOx6,Dark Horse,Katy Perry,['pop'],PRISM,6jJ0s89eD6GaHleKKya26X,81,215672,False,0.647,0.585,6,-6.123,1,0.0512,0.00314,0.0,0.165,0.353,131.934,4,03:35
3e7sxremeOE3wTySiOhGiP,Dusk Till Dawn (feat. Sia) - Radio Edit,ZAYN,"['pop', 'uk pop']",Icarus Falls,5ZsFI1h6hIdQRw2ti0hz81,81,239000,False,0.259,0.437,11,-6.589,0,0.0386,0.102,1.32e-06,0.106,0.0951,180.042,4,03:59
3ScJy88F8KqGDfWu8XJhHx,If I Lose Myself - Alesso vs OneRepublic,Alesso,"['dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']",Native,4AVFqumd2ogHFlRbKIjp1t,72,215186,False,0.519,0.754,2,-5.689,1,0.0402,0.258,3.75e-06,0.139,0.16,125.975,4,03:35
6nek1Nin9q48AVZcWs9e9D,Paradise,Coldplay,"['permanent wave', 'pop']",Mylo Xyloto,4gzpq5DPGxSnKTe4SA8HAU,86,278719,False,0.449,0.585,5,-6.761,1,0.0268,0.0509,8.75e-05,0.0833,0.212,139.631,4,04:38
6ebkx7Q5tTxrCxKq4GYj0Y,Club Can't Handle Me (feat. David Guetta),Flo Rida,"['dance pop', 'miami hip hop', 'pop', 'pop rap']",Only One Flo (Part 1),0jnsk9HBra6NMjO2oANoPY,80,234560,False,0.616,0.869,0,-3.911,1,0.0327,0.0283,0.0,0.064,0.473,127.966,4,03:54
2ygMBIctKIAfbEBcT9065L,Pump It,Black Eyed Peas,"['dance pop', 'pop', 'pop rap']",Monkey Business,1yxSLGMDHlW21z4YXirZDS,79,213066,True,0.648,0.931,1,-3.15,0,0.181,0.00937,0.0,0.752,0.744,153.649,4,03:33
1QV6tiMFM6fSOKOGLMHYYg,Poker Face,Lady Gaga,"['art pop', 'dance pop', 'pop']",The Fame,1HY2Jd0NmPuamShAr6KMms,82,237200,False,0.851,0.806,4,-4.62,1,0.0787,0.118,1.64e-06,0.121,0.787,118.999,4,03:57
3P5h94RH9LOBwD8OF84M0u,Memories (feat. Kid Cudi),David Guetta,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",One More Love,1Cs0zKBU1kc0i8ypK3B9ai,67,210093,False,0.561,0.87,8,-6.103,1,0.343,0.0015,2.82e-06,0.246,0.498,129.98,4,03:30
2EBCVPNAG46nbgs6jXPGvv,Starships,Nicki Minaj,"['hip pop', 'pop', 'queens hip hop', 'rap']",Pink Friday: Roman Reloaded The Re-Up (Explicit Version),0hCNtLu0JehylgoiP8L4Gh,80,210626,True,0.747,0.716,11,-2.457,0,0.075,0.135,0.0,0.251,0.751,125.008,4,03:30
7rbECVPkY5UODxoOUVKZnA,I Wonder,Kanye West,"['chicago rap', 'hip hop', 'rap']",Graduation,5K4W6rqBFWDnAN6FQUkS6x,86,243440,True,0.542,0.466,0,-8.665,1,0.0831,0.141,0.000445,0.125,0.124,191.385,4,04:03
